time,month,chl,phyc,no3,sst
2008-04-01,4,0.2338417,1.6736938,0.21514224,15.659162
2008-05-01,5,0.14329016,1.2135535,0.17303985,18.427309
2008-06-01,6,0.12213468,0.9187857,0.1586221,22.147867
2008-07-01,7,0.13441184,0.7410955,0.18668279,23.393665
2008-08-01,8,0.14645693,0.6549716,0.2490264,23.857475
2008-09-01,9,0.16669548,0.66015977,0.3347483,23.171482
2008-10-01,10,0.2195424,0.7314113,0.46814117,20.625677
2008-11-01,11,0.31463477,1.0228416,0.5789049,18.458595
2008-12-01,12,0.39598024,1.5773245,0.8731063,16.193651
2009-01-01,1,0.38760692,1.9258937,1.1510209,14.174693
2009-02-01,2,0.44239035,2.2203376,1.0621015,14.031333
2009-03-01,3,0.40185872,2.4423532,0.93175554,13.905642
2009-04-01,4,0.3579772,2.648652,0.4964834,15.46148
2009-05-01,5,0.22529268,1.4998069,0.34147868,18.912516
2009-06-01,6,0.17738038,0.84776616,0.37762162,22.329609
2009-07-01,7,0.13745941,0.6177194,0.43986204,24.56519
2009-08-01,8,0.18280688,0.6611351,0.34171715,23.018944
2009-09-01,9,0.16786247,0.58050376,0.5142925,22.191555
2009-10-01,10,0.17607467,0.53616613,0.6314928,21.012146
2009-11-01,11,0.23134564,0.65632856,0.93547815,18.737717
2009-12-01,12,0.3207909,1.0528905,1.5939201,16.894512
2010-01-01,1,0.39095968,1.551708,1.8766581,15.402231
2010-02-01,2,0.42851102,2.0076654,1.4757543,14.470265
2010-03-01,3,0.41100043,2.130574,1.1270405,14.937584
2010-04-01,4,0.30746883,1.9902301,0.5556098,16.375477
2010-05-01,5,0.16930647,1.2632986,0.35352594,19.39278
2010-06-01,6,0.15707017,0.8164825,0.27363765,23.049288
2010-07-01,7,0.15226947,0.6273198,0.23118035,24.565546
2010-08-01,8,0.17443815,0.6347275,0.20545223,26.063835
2010-09-01,9,0.19694507,0.61497766,0.25364587,23.836916
2010-10-01,10,0.19936262,0.53613055,0.37385252,21.1384
2010-11-01,11,0.29247463,0.71087015,0.53625274,19.492382
2010-12-01,12,0.284788,0.93507546,0.98196405,17.214884
2011-01-01,1,0.46546987,1.9587759,1.0728616,14.924566
2011-02-01,2,0.36772427,1.9104335,0.82504356,13.97012
2011-03-01,3,0.33854493,2.063431,0.5471073,13.933319
2011-04-01,4,0.26377603,1.5985652,0.353023,15.0781555
2011-05-01,5,0.17585373,1.1237162,0.23482154,18.038326
2011-06-01,6,0.16527066,0.8532476,0.20475285,22.494835
2011-07-01,7,0.14991584,0.62993836,0.16117975,24.50068
2011-08-01,8,0.16405758,0.5914358,0.16761842,24.016335
2011-09-01,9,0.15630402,0.53726053,0.22386825,23.119219
2011-10-01,10,0.19925688,0.54388875,0.31850752,20.643738
2011-11-01,11,0.22109742,0.646207,0.47627932,16.945827
2011-12-01,12,0.22924775,0.8622654,1.013054,15.515692
2012-01-01,1,0.30051577,1.3863431,1.3065054,13.686154
2012-02-01,2,0.38629705,2.0990448,1.1422563,12.826276
2012-03-01,3,0.3301255,2.1031425,0.80791503,13.458569
2012-04-01,4,0.23402235,1.6549541,0.50768733,15.827395
2012-05-01,5,0.13360852,0.9970622,0.35258698,19.674387
2012-06-01,6,0.14961208,0.8325431,0.2687084,23.137346
2012-07-01,7,0.12510693,0.5446503,0.24524815,24.22257
2012-08-01,8,0.13830703,0.5433179,0.2940445,24.178026
2012-09-01,9,0.13241996,0.49013442,0.3984829,22.749128
2012-10-01,10,0.18764049,0.573305,0.4540172,22.139877
2012-11-01,11,0.23240386,0.6220402,0.65854216,19.58681
2012-12-01,12,0.34441218,1.203884,1.0977806,16.289865
2013-01-01,1,0.32876644,1.5475143,1.2163424,14.363163
2013-02-01,2,0.44413725,2.099724,0.89776844,14.061232
2013-03-01,3,0.34702528,1.8808807,0.6569971,14.398722
2013-04-01,4,0.261459,1.6358855,0.42718014,16.11917
2013-05-01,5,0.16349052,1.04598,0.25521645,19.645403
2013-06-01,6,0.15769364,0.8194358,0.23767486,22.858328
2013-07-01,7,0.18598032,0.68883294,0.1738887,23.499023
2013-08-01,8,0.17581362,0.6577826,0.18070485,23.775356
2013-09-01,9,0.15016858,0.5152032,0.2557677,23.415962
2013-10-01,10,0.21004078,0.5793411,0.37917265,20.656626
2013-11-01,11,0.22100182,0.58350545,0.5052547,18.795137
2013-12-01,12,0.29952818,1.0674872,0.90493554,15.452341
2014-01-01,1,0.34708485,1.6441956,1.2259595,14.645129
2014-02-01,2,0.3478253,1.7595336,0.9408944,14.461719
2014-03-01,3,0.27408183,1.69731,0.6413963,14.575123
2014-04-01,4,0.19641966,1.4101131,0.33647838,16.187565
2014-05-01,5,0.14385597,0.84996325,0.32963425,18.753302
2014-06-01,6,0.13715015,0.6914481,0.26862055,22.454037
2014-07-01,7,0.15056448,0.6202371,0.19405979,24.233465
2014-08-01,8,0.12358347,0.48977402,0.21815743,25.707676
2014-09-01,9,0.13786763,0.49477392,0.29396212,24.288748
2014-10-01,10,0.17920575,0.5153732,0.3922551,20.733896
2014-11-01,11,0.23348422,0.6571746,0.6389394,18.244133
2014-12-01,12,0.28169274,1.0194676,1.0916451,16.608503
2015-01-01,1,0.38107026,1.6964314,1.0461127,14.1167
2015-02-01,2,0.3571298,1.7656884,0.86509377,13.538918
2015-03-01,3,0.27620566,1.7771231,0.4617921,13.899543
2015-04-01,4,0.25255182,1.4672874,0.32098266,15.22667
2015-05-01,5,0.14817306,0.9233417,0.21761347,19.02423
2015-06-01,6,0.11381854,0.5906965,0.27233407,21.952093
2015-07-01,7,0.19991718,0.74966,0.16343762,23.407824
2015-08-01,8,0.14055057,0.5509704,0.17902929,25.892721
2015-09-01,9,0.16194786,0.54785424,0.19879742,24.346539
2015-10-01,10,0.23412049,0.60356486,0.2837049,21.675236
2015-11-01,11,0.26274207,0.667143,0.3867415,18.387363
2015-12-01,12,0.24650787,0.85484445,0.7037243,16.013586
2016-01-01,1,0.36355042,1.6140367,0.9805003,14.398107
2016-02-01,2,0.343594,1.8717256,0.8477053,14.466349
2016-03-01,3,0.29582694,1.6392401,0.5870022,14.970282
2016-04-01,4,0.20859222,1.510887,0.3503596,16.953676
2016-05-01,5,0.14657834,0.90012056,0.27987078,19.035896
2016-06-01,6,0.14067504,0.70510834,0.23275061,22.874706
2016-07-01,7,0.18330401,0.6815813,0.18266504,24.351418
2016-08-01,8,0.19415101,0.6758445,0.18402503,24.42473
2016-09-01,9,0.17820576,0.5768656,0.2911287,23.132944
2016-10-01,10,0.22661078,0.6183499,0.38512856,20.824362
2016-11-01,11,0.26892734,0.7510956,0.57618624,17.75897
2016-12-01,12,0.28235185,1.0838784,0.9990499,14.845819
2017-01-01,1,0.34799275,1.7536315,1.347071,12.71094
2017-02-01,2,0.35365498,2.21267,1.1089556,12.601849
2017-03-01,3,0.29287562,2.1656682,0.668929,14.005283
2017-04-01,4,0.23290993,1.8401905,0.30697352,15.787996
2017-05-01,5,0.16360882,1.1146348,0.23935835,18.82589
2017-06-01,6,0.15618728,0.82762444,0.24701399,22.602798
2017-07-01,7,0.17995025,0.7113748,0.21019955,23.800177
2017-08-01,8,0.18325183,0.6444535,0.2538244,23.590359
2017-09-01,9,0.15238759,0.5826996,0.3772348,22.835281
2017-10-01,10,0.24788232,0.7214741,0.5097692,19.8997
2017-11-01,11,0.27628583,0.8188138,0.6764837,17.628067
2017-12-01,12,0.30408764,1.1931026,1.1115915,16.110819
2018-01-01,1,0.41332975,1.9256212,1.2724112,14.489477
2018-02-01,2,0.34402126,1.8966299,0.9685075,14.0637045
2018-03-01,3,0.27867487,1.63462,0.61056864,15.3330145
2018-04-01,4,0.23749433,1.511581,0.36371917,17.299257
2018-05-01,5,0.11629131,0.74937254,0.29848024,20.87297
2018-06-01,6,0.14488795,0.68105,0.21368933,23.351618
2018-07-01,7,0.15007435,0.61271596,0.24706037,25.357645
2018-08-01,8,0.17114097,0.61459285,0.21268837,25.046824
2018-09-01,9,0.18278904,0.5747419,0.30510816,23.707464
2018-10-01,10,0.23060724,0.60748696,0.5216272,20.253277
2018-11-01,11,0.24721715,0.6624399,0.682613,18.354399
2018-12-01,12,0.32078397,1.1352985,1.106914,15.449092
2019-01-01,1,0.41142234,1.9160696,1.5026848,13.787039
2019-02-01,2,0.48008665,2.5889704,1.3771828,13.6364155
2019-03-01,3,0.41056168,2.8721142,0.7339821,14.222822
2019-04-01,4,0.38002294,2.7711918,0.37450466,15.536523
2019-05-01,5,0.22940351,1.5996855,0.2268666,19.152729
2019-06-01,6,0.18379816,1.1106116,0.23619747,23.419859
2019-07-01,7,0.25839508,0.98982644,0.21614829,23.956202
2019-08-01,8,0.22839253,0.8035207,0.27291095,24.000912
2019-09-01,9,0.237273,0.79916495,0.4189479,22.393103
2019-10-01,10,0.2646802,0.80979705,0.49099648,21.356558
2019-11-01,11,0.30565226,0.8955055,0.6537348,19.917263
2019-12-01,12,0.41319838,1.5864894,1.1094242,17.672155
2020-01-01,1,0.46046183,2.4151978,1.1306459,14.478968
2020-02-01,2,0.38769773,2.3837233,0.6707105,14.526436
2020-03-01,3,0.4035267,2.3293493,0.40627888,14.833297
2020-04-01,4,0.33343825,1.844763,0.27407795,15.77121
2020-05-01,5,0.20692371,1.2607957,0.25943863,19.036272
2020-06-01,6,0.18316554,0.9543832,0.22715303,22.651794
2020-07-01,7,0.23218201,0.836728,0.1823666,24.133911
2020-08-01,8,0.24542156,0.80939656,0.19553348,24.308155
2020-09-01,9,0.23539676,0.712755,0.24584137,24.121267
2020-10-01,10,0.24847092,0.6701378,0.32595605,22.990356
2020-11-01,11,0.34534842,0.91526014,0.49946734,19.331964
2020-12-01,12,0.33799225,1.3033093,0.87485605,16.696531
2021-01-01,1,0.32497847,1.431912,1.0409563,15.973601
2021-02-01,2,0.43220285,2.1455586,0.8600666,14.927302
2021-03-01,3,0.3304599,2.2595434,0.47511002,14.466916
2021-04-01,4,0.31909883,1.9949272,0.30553097,15.382556
2021-05-01,5,0.20319322,1.3463513,0.2306924,19.173105
2021-06-01,6,0.16911024,0.9497311,0.223762,22.725899
2021-07-01,7,0.2099462,0.79311633,0.17974366,24.891506
2021-08-01,8,0.22748077,0.758158,0.18298176,25.079952
2021-09-01,9,0.24081771,0.7106059,0.24057136,23.1522
2021-10-01,10,0.2865833,0.78062236,0.33648625,20.021938
2021-11-01,11,0.3016154,0.8875785,0.50254935,18.064215
2021-12-01,12,0.33932573,1.2573992,0.84788054,15.768423
2022-01-01,1,0.37577182,1.9062527,0.98355514,14.162089
2022-02-01,2,0.3451938,2.0460107,0.777501,13.712337
2022-03-01,3,0.33923194,2.28872,0.54397887,13.158537
2022-04-01,4,0.24413651,1.8179225,0.4152824,15.74378
2022-05-01,5,0.1989477,1.1584303,0.30976167,19.12189
2022-06-01,6,0.20790382,0.9023187,0.22303236,22.312187
2022-07-01,7,0.21504545,0.79340863,0.19838887,22.672628
2022-08-01,8,0.29554608,0.9781974,0.20021689,24.4978
2022-09-01,9,0.29509568,0.83011746,0.2455673,23.833706
2022-10-01,10,0.37053332,0.91301596,0.40394157,20.443678
2022-11-01,11,0.43819207,1.1880763,0.5250595,17.82511
2022-12-01,12,0.35725835,1.4417118,0.8855026,16.485956
