time,chl,year,month
2009-12-01,0.11167742,2009,12
2010-01-01,0.12048821,2010,1
2010-02-01,0.14783214,2010,2
2010-03-01,0.14774287,2010,3
2010-04-01,0.096124,2010,4
2010-05-01,0.07084567,2010,5
2010-06-01,0.051398218,2010,6
2010-07-01,0.053355582,2010,7
2010-08-01,0.057061657,2010,8
2010-09-01,0.06596903,2010,9
2010-10-01,0.08263425,2010,10
2010-11-01,0.094864964,2010,11
2010-12-01,0.100824684,2010,12
2011-01-01,0.146059,2011,1
2011-02-01,0.14580037,2011,2
2011-03-01,0.12896164,2011,3
2011-04-01,0.11152958,2011,4
2011-05-01,0.080665745,2011,5
2011-06-01,0.05355897,2011,6
2011-07-01,0.051880904,2011,7
2011-08-01,0.058441445,2011,8
2011-09-01,0.06611051,2011,9
2011-10-01,0.08097564,2011,10
2011-11-01,0.10830344,2011,11
2011-12-01,0.11977423,2011,12
2012-01-01,0.14367111,2012,1
2012-02-01,0.14656585,2012,2
2012-03-01,0.13509102,2012,3
2012-04-01,0.09920777,2012,4
2012-05-01,0.06483305,2012,5
2012-06-01,0.051788967,2012,6
2012-07-01,0.05476223,2012,7
2012-08-01,0.05633208,2012,8
2012-09-01,0.06254206,2012,9
2012-10-01,0.07238447,2012,10
2012-11-01,0.08932295,2012,11
2012-12-01,0.120192125,2012,12
2013-01-01,0.12378526,2013,1
2013-02-01,0.14982294,2013,2
2013-03-01,0.14276877,2013,3
2013-04-01,0.11358159,2013,4
2013-05-01,0.06754885,2013,5
2013-06-01,0.056127112,2013,6
2013-07-01,0.056078415,2013,7
2013-08-01,0.060003586,2013,8
2013-09-01,0.05840296,2013,9
2013-10-01,0.070719585,2013,10
2013-11-01,0.09200895,2013,11
2013-12-01,0.12339343,2013,12
2014-01-01,0.13398309,2014,1
2014-02-01,0.13844569,2014,2
2014-03-01,0.1111103,2014,3
2014-04-01,0.07648118,2014,4
2014-05-01,0.06358769,2014,5
2014-06-01,0.054972425,2014,6
2014-07-01,0.052408367,2014,7
2014-08-01,0.055088848,2014,8
2014-09-01,0.06664601,2014,9
2014-10-01,0.0833079,2014,10
2014-11-01,0.09199747,2014,11
2014-12-01,0.10725531,2014,12
2015-01-01,0.116287686,2015,1
2015-02-01,0.14176457,2015,2
2015-03-01,0.122752264,2015,3
2015-04-01,0.12545289,2015,4
2015-05-01,0.068044655,2015,5
2015-06-01,0.05546407,2015,6
2015-07-01,0.06031325,2015,7
2015-08-01,0.05908811,2015,8
2015-09-01,0.06439563,2015,9
2015-10-01,0.08177735,2015,10
2015-11-01,0.11536662,2015,11
2015-12-01,0.11787368,2015,12
2016-01-01,0.12791047,2016,1
2016-02-01,0.123325475,2016,2
2016-03-01,0.10404372,2016,3
2016-04-01,0.07370932,2016,4
2016-05-01,0.058928963,2016,5
2016-06-01,0.059224147,2016,6
2016-07-01,0.057300456,2016,7
2016-08-01,0.062155712,2016,8
2016-09-01,0.06925146,2016,9
2016-10-01,0.080262385,2016,10
2016-11-01,0.10567572,2016,11
2016-12-01,0.121491626,2016,12
2017-01-01,0.1510897,2017,1
2017-02-01,0.14962995,2017,2
2017-03-01,0.1484398,2017,3
2017-04-01,0.09265272,2017,4
2017-05-01,0.07067378,2017,5
2017-06-01,0.05513634,2017,6
2017-07-01,0.06217529,2017,7
2017-08-01,0.0699232,2017,8
2017-09-01,0.06762655,2017,9
2017-10-01,0.081230745,2017,10
2017-11-01,0.103818975,2017,11
2017-12-01,0.106180444,2017,12
2018-01-01,0.14387108,2018,1
2018-02-01,0.15390399,2018,2
2018-03-01,0.14243154,2018,3
2018-04-01,0.09354796,2018,4
2018-05-01,0.060014766,2018,5
2018-06-01,0.052644968,2018,6
2018-07-01,0.050321963,2018,7
2018-08-01,0.06431919,2018,8
2018-09-01,0.07638904,2018,9
2018-10-01,0.09374202,2018,10
2018-11-01,0.100722045,2018,11
2018-12-01,0.1099607,2018,12
2019-01-01,0.14895958,2019,1
2019-02-01,0.16726243,2019,2
2019-03-01,0.14127213,2019,3
2019-04-01,0.14519581,2019,4
2019-05-01,0.0829567,2019,5
2019-06-01,0.057990797,2019,6
2019-07-01,0.057121273,2019,7
2019-08-01,0.06389498,2019,8
2019-09-01,0.07024289,2019,9
2019-10-01,0.084891714,2019,10
2019-11-01,0.106917426,2019,11
2019-12-01,0.1212195,2019,12
2020-01-01,0.14900891,2020,1
2020-02-01,0.15007395,2020,2
2020-03-01,0.13992764,2020,3
2020-04-01,0.12572135,2020,4
2020-05-01,0.072712705,2020,5
2020-06-01,0.056928564,2020,6
2020-07-01,0.06881802,2020,7
2020-08-01,0.06283978,2020,8
2020-09-01,0.06770429,2020,9
2020-10-01,0.08695445,2020,10
2020-11-01,0.12094147,2020,11
2020-12-01,0.12327678,2020,12
2021-01-01,0.14173928,2021,1
2021-02-01,0.14986631,2021,2
2021-03-01,0.13423818,2021,3
2021-04-01,0.12689532,2021,4
2021-05-01,0.077649415,2021,5
2021-06-01,0.05526414,2021,6
2021-07-01,0.066272154,2021,7
2021-08-01,0.06086085,2021,8
2021-09-01,0.07901929,2021,9
2021-10-01,0.10002647,2021,10
2021-11-01,0.11868393,2021,11
2021-12-01,0.11504343,2021,12
2022-01-01,0.13406725,2022,1
2022-02-01,0.1428657,2022,2
2022-03-01,0.13643847,2022,3
2022-04-01,0.13079086,2022,4
2022-05-01,0.0713549,2022,5
2022-06-01,0.059908926,2022,6
2022-07-01,0.0752218,2022,7
2022-08-01,0.07028098,2022,8
2022-09-01,0.0847968,2022,9
2022-10-01,0.10695605,2022,10
2022-11-01,0.14827292,2022,11
2022-12-01,0.12872912,2022,12
